nombre,artista,album,url
Mad at Disney,LA Nightcore,Mad at Disney,https://open.spotify.com/track/1BVuiiFDN4TN29iVTOLk0p
PLAY,Tokyo Machine,PLAY,https://open.spotify.com/track/1fRadkuwHEqwMuiY5ns15C
Good Times Go,Nicky Youre,Good Times Go,https://open.spotify.com/track/6iO8dAiOA3gnVHMCRfDwDy
WITHOUT YOU,The Kid LAROI,F*CK LOVE 3+: OVER YOU,https://open.spotify.com/track/1KMkcUvF7m3SDChDOa7i5L
I Like Me Better,Lauv,I Like Me Better,https://open.spotify.com/track/1jXfVzMk8cSbvAXMML4Y4f
Off My Face,Justin Bieber,Justice,https://open.spotify.com/track/3T03rPwlL8NVk1yIaxeD8U
Anyone,Justin Bieber,Justice,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
I Won't Run Away,Ashes Remain,What I've Become,https://open.spotify.com/track/3BpX7L3ME3Dwq58NmbcVhD
Without You,Ashes Remain,What I've Become,https://open.spotify.com/track/0RehH5v9onF5npFj9uG3Fp
Right Here,Ashes Remain,What I've Become,https://open.spotify.com/track/0wXEohIdexKOuHDCXhydkM
Thinking About You,Loving Caliber,When We Were Younger,https://open.spotify.com/track/6hIvEohHc1PqRYMBOjZYik
We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",Nine Track Mind,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
In the End,Linkin Park,Hybrid Theory (Bonus Edition),https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
everything i wanted,Billie Eilish,everything i wanted,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
Ordinary Life,Here At Last,Ordinary Life,https://open.spotify.com/track/3ZAFyug4H7El4WPpU1cqTQ
Happy,Here At Last,EP1,https://open.spotify.com/track/1iqra0RJdcCJ02e4CkeQhM
Gatekeeper,Dylan Conrique,Gatekeeper,https://open.spotify.com/track/7uveohm2cpiLUOYZ7fj8hM
Slow Grenade,"Ellie Goulding, Lauv",Slow Grenade,https://open.spotify.com/track/5z8uLrYMcUVvzTV28twt44
"eyes wide, open air",Drod,"eyes wide, open air",https://open.spotify.com/track/2JGppZ6R7S8dOIuHqxI07y
Softly,Thomas Day,Softly,https://open.spotify.com/track/1u4hYTnLLLhsOHe2ZRiyJ9
Fictional (Stripped),Khloe Rose,Fictional (Stripped),https://open.spotify.com/track/2bg63zi9fRhlrb0JVzeT4E
Love Is Killing Me,BONNIE X CLYDE,Love Is Killing Me,https://open.spotify.com/track/1fFYM21OuMnpFrLnNcYLzL
Love Is Killing Me - Helion Remix,"BONNIE X CLYDE, Helion",Love Is Killing Me (Helion Remix),https://open.spotify.com/track/4FHpWVuiK31JW1Fuqc4cCS
My Bad,"The Chainsmokers, Shenseea",My Bad,https://open.spotify.com/track/0YQ0N57Whq3vgF7bqUNDHs
People Watching,Conan Gray,Superache,https://open.spotify.com/track/3TFoEJe5zNuHZStRboWPxg
Manila,"Ray Dalton, Alvaro Soler",Manila,https://open.spotify.com/track/2hBkoDhuGk2AtSCprEFDFP
unwanted,Camylio,before we say goodbye,https://open.spotify.com/track/7ahedLOZvNGb0xun71M4ip
Beautiful Things,Benson Boone,Beautiful Things,https://open.spotify.com/track/6tNQ70jh4OwmPGpYy6R2o9
Flowers Need Rain,"Preston Pablo, Banx & Ranx",Flowers Need Rain,https://open.spotify.com/track/079mntueS2KWjxVqOHjG70
On My Own,Temple Dior,Soul Ties,https://open.spotify.com/track/2Wm7A0eUQbBtYqniwJepiP
WHAT THE HELL - OBLVYN Remix,"Johnning, OBLVYN",WHAT THE HELL (OBLVYN Remix),https://open.spotify.com/track/1FMdcepWuMtbyp7YbvCEjd
HALF HEARTED,We Three,"Dear Paranoia, Sincerely, Me",https://open.spotify.com/track/0zMQ5Svj3WbB8RsBn9hFKq
blame's on me,Alexander Stewart,blame's on me,https://open.spotify.com/track/1veHwv1HPwzOvlhs5jPxeP
Bloom,Troye Sivan,Bloom,https://open.spotify.com/track/0oTyoTKEKMdF3rXcOLyEfN
Far Too Late,Connor Kauffman,Two Hearts,https://open.spotify.com/track/0HlHYT6NP4hAoNSaj0JOOg
best friends,sammy rash,best friends,https://open.spotify.com/track/2ZQLEuaDw9rxJ5u5YR0KEw
Electrical,Bali Baby,Baylor Swift,https://open.spotify.com/track/58nSc49D656Rq4dEqFYkMm
Oh So Sorry,PVLN,Oh So Sorry,https://open.spotify.com/track/23VBABNxX48U7SoKTAK7PL
Different Lives,"Fly By Midnight, Rachel Grae",Different Lives,https://open.spotify.com/track/7e7JVMegy4WBMnzuZE9Srq
Broken Mast Bay,Sail North,Broken Mast Bay,https://open.spotify.com/track/3eIoJPA7DHS8h4X8WHBabq
C'mon Down,Poor Man's Poison,Providence,https://open.spotify.com/track/2OqfU8bYXte0FVWEKL10KC
Give and Take,Poor Man's Poison,In the End,https://open.spotify.com/track/4pZos1A9cAsvHx5kj1O38W
Let's Go!,Poor Man's Poison,The Great Big Lie,https://open.spotify.com/track/5kvDeLfKhTbCXiElGeX0bG
The Woods,"Travis Brooks, Poor Man's Poison",The Woods,https://open.spotify.com/track/6Xe983fevWBfx1XeypjGjS
Bored,Sara Kays,Bored,https://open.spotify.com/track/3YQtnh00LIhMqimMUjbS6l
Lush Life,Zara Larsson,So Good,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8
Woulda Coulda Shoulda,Anthony Watts,Woulda Coulda Shoulda,https://open.spotify.com/track/2PQYO2ycXPyZdL1qZebBMH
JUMP!,Only The Poets,JUMP!,https://open.spotify.com/track/3XfqHrrVnG4BI2XAOaYiim
unforgettable (freestyle) - 8D Audio,"surround., (((())))",unforgettable (freestyle) [8D Audio],https://open.spotify.com/track/5dXxEouRTuH87xNHsztpaM
